正股,友邦保險控股有限公司

交易日, 引伸波幅 (%), HV10 (%), HV30 (%), HV60 (%), HV90 (%)
22/01/2021,34.7709,46.4398,36.2991,37.4406,33.5676
21/01/2021,34.4142,42.7001,34.8519,36.5921,33.0132
20/01/2021,33.4763,41.6322,34.7116,36.8441,33.0358
19/01/2021,33.6922,42.4282,32.9608,35.9249,32.4237
18/01/2021,33.9052,38.1091,31.0936,35.0465,31.8202
15/01/2021,33.5788,40.9040,31.0377,35.0659,32.9561
14/01/2021,32.6527,39.3925,29.6541,34.4475,32.9729
13/01/2021,33.4398,39.3969,30.8475,34.3495,32.9091
12/01/2021,35.9964,38.8273,33.3593,34.2465,32.8311
11/01/2021,35.2353,39.5737,32.0109,34.4581,32.1840
08/01/2021,35.4230,39.1977,32.0615,34.4941,32.2520
07/01/2021,35.4897,39.5936,31.7526,34.3488,32.7525
06/01/2021,33.5304,41.5181,31.4720,34.1701,32.6202
05/01/2021,32.7553,33.9717,30.5733,33.1570,31.9285
04/01/2021,32.3985,36.3088,30.7490,33.1610,31.9817
31/12/2020,30.5452,32.6517,29.7338,32.4978,32.2887
30/12/2020,30.6577,31.3708,29.3994,32.3095,32.7572
29/12/2020,32.3195,30.6045,29.2756,32.7943,33.1719
28/12/2020,32.0654,29.7406,30.2569,32.7292,33.1378
24/12/2020,28.7171,20.9429,27.8515,31.7420,32.3945
23/12/2020,29.2146,20.8708,30.3190,31.8112,32.3829
22/12/2020,29.6303,20.4590,29.5594,31.5818,32.2046
21/12/2020,29.5016,18.3403,33.0403,31.5180,32.0396
18/12/2020,27.1779,19.6010,33.5128,31.5277,32.3798
17/12/2020,29.7090,17.2395,32.9888,31.4144,32.4515
16/12/2020,30.0066,17.2956,33.3916,31.7975,32.4683
15/12/2020,28.9360,15.9437,33.2618,31.7511,32.4362
14/12/2020,28.5577,23.7389,36.9595,32.1973,32.4421
11/12/2020,27.1867,33.3645,36.9648,32.2545,32.4418
10/12/2020,27.5916,34.3058,38.7685,32.3772,33.0497
09/12/2020,27.6952,34.6692,39.1539,32.3641,33.1158
08/12/2020,26.9351,32.7547,38.8129,32.0936,33.0306
07/12/2020,27.6387,33.1316,39.3881,32.1812,33.2700
04/12/2020,27.0421,35.8943,39.1336,32.0688,33.1951
03/12/2020,27.5261,36.7158,39.1296,32.2179,33.1991
02/12/2020,27.5296,37.7609,39.1868,33.9724,33.1998
01/12/2020,28.0236,38.0199,39.1762,34.6494,33.3009
30/11/2020,28.9321,33.7035,37.9002,33.8274,32.7982
27/11/2020,28.8368,30.1588,35.6642,32.6894,32.1577
26/11/2020,29.4098,28.2647,37.2953,32.5203,32.1311
25/11/2020,29.0338,36.3180,37.3188,32.5638,32.1083
24/11/2020,28.6023,36.2066,37.3111,33.4906,32.1287
23/11/2020,29.4492,45.3042,37.2150,33.4244,32.1215
20/11/2020,27.9307,41.6115,36.0787,32.8258,31.7414
19/11/2020,28.5242,41.7302,35.9372,32.7943,31.8286
18/11/2020,28.5481,39.0080,35.4443,33.7193,31.6441
17/11/2020,29.8526,39.0186,35.4400,34.5393,31.8180
16/11/2020,30.9523,45.8341,36.3909,35.1937,31.6810
13/11/2020,29.6907,45.5778,35.5497,34.6964,31.2684
12/11/2020,30.6981,51.9723,35.6952,34.6539,31.2675
11/11/2020,30.0544,46.4602,33.6278,33.5966,30.9719
10/11/2020,30.1796,46.2749,33.7119,33.6287,30.9719
09/11/2020,28.2398,42.5904,30.4584,31.7861,30.0545
06/11/2020,27.8969,41.5764,29.8746,32.0414,29.8502
05/11/2020,27.9888,41.6297,30.0828,32.4032,30.1310
04/11/2020,28.7918,40.2390,30.0192,32.1370,30.1041
03/11/2020,29.6705,40.1461,30.1639,32.1580,30.1209
02/11/2020,30.6021,21.5206,24.6436,29.6579,28.6073
30/10/2020,30.6253,20.7751,24.6099,29.6573,28.7587
29/10/2020,29.3112,22.0231,23.4612,29.8925,28.1559
